Error Code,Error Description
4306,If the answer to the Has the Assignment Already Occurred question is No then the answer to the Voluntary or Involuntary question must be Voluntary
4307,The Involuntary Date is required.
4308,The Involuntary Date cannot be greater than todays date.
4309,If the Involuntary Date is more than 30 days prior to the receipt date of this application a Waiver request is required.
4310,Transferor FRN is required and must be valid.
4311,The answer to the pro forma question must be No when the application is filed as Involuntary.
4312,The answer to the Forbearance Notification question must be No if the assignment has already occurred.
4313,The Forbearance Date is required.
4314,The Forbearance Date cannot be greater than todays date.
4315,An answer to 'How will the Transfer of Control be accomplished?' question is required.
4316,If the Forbearance Date is more than 30 days prior to the receipt date of this application a Waiver request is required.
4317,An answer to the Bidding Credits Awarded question is required.
4318,An answer to the Installment Payment Plan question is required.
4319,An answer to the Closed Bidding question is required.
4320,An answer to the Transaction Accomplished question is required.
4321,An answer to the Bidding Credits Paid question is required.
4322,"An answer to the Bidding Credits Eligibility Status question is required. Valid combinations of Bidding Credits Eligibility Status are:  [1], [2], [1 and 2], or [3]."
4323,"Valid combinations for Bidding Credits Eligibility Status are:  [1], [2], [1 and 2], or [3]."
4324,An answer to the Installment Payment Obligations Paid question is required.
4325,Answer to 'Transfer of Control is Voluntary/Involuntary?' question is required.
4326,"An answer to the Installment Payment Eligibility Status question is required. Valid combinations of Installment Payment Eligibility Status are:  [1], [2], [1 and 2], or [3]."
4327,"Valid combinations for Installment Payment Eligibility Status are:  [1], [2], [1 and 2], or [3]."
4328,An answer to the Closed Bidding Construction Notifications question is required.
4329,An answer to the Closed Bidding Eligibility Status question is required.
4330,An answer to the Voluntary or Involuntary question is required.
4331,The Assignor/Transferor City provided requires a Military State to be provided.
4332,All Gross Revenues Information is required.
4333,There is not an assignment or transfer on file in ULS with this FRN.
4334,The Assignor/Transferor Entity Type is required.
4335,Invalid Assignee Tin/FRN.
4336,Assignor Individual Name is required.
4337,The Assignee/Transferee Entity Name is required.
4338,The Assignor/Transferor Attention To is required.
4339,Either Assignor P.O. Box or Assignor Street Address is required.
4340,Certifier first name is required.
4341,The provided The Assignor/Transferor Email Address is invalid.
4342,The provided Assignee/Transferee Email Address is invalid.
4343,The Licensee Contact Individual Name (first and last name) and/or the Company Name is required.
4344,The Licensee Contact Individual Name (first and last name) and/or the Attention To is required.
4345,The First Name of the Assignor/Transferor Certifier is required.
4346,The provided Assignor/Transferor Contact Email Address is invalid.
4347,The Assignee/Transferee City provided requires a Military State to be provided.
4350,Certifier last name is required.
4352,The Name of the Assignee/Transferee Real Party in Interest is required.
4353,The FRN of the Assignee/Transferee Real Party in Interest is required.
4354,Invalid FRN of Real Party in Interest.
4355,The Last Name of the Assignor/Transferor Certifier is required.
4357,This call sign has been previously assigned and no longer belongs to the Assignor FRN.  Please delete the call sign from the application and resubmit.
4360,Certifier title is required.
4362,The City provided requires a Military State to be provided.
4365,Assignor/Transferor Certifier title is required.
4370,Certification date is required.
4375,Assignee certification date is required.
4376,The provided Assignee/Transferee Contact Email Address is invalid.
4377,An answer to the Geographic Overlap question is required.
4378,An answer to the 10 MHz question is required.
4379,An answer to the Reduced Service Providers question is required.
4380,Either Transferred Call sign or File Number is required.
4381,An answer to the Multichannel Video Programming question is required.
4382,An answer to the Attributable Interest question is required.
4383,An answer to the Programming Requirements question is required.
4384,An answer to the Is the assignee required to file FCC Form 602 question is required.
4385,Either Assigned Call sign or File Number is required.
4386,The file number of the latest FCC Form 602 is required.
4387,The File Number is not a valid FCC Form 602 File Number for a Current/Accepted or Proposed/Accepted filing.
4388,An answer to the Alien Ownership Ruling is required.
4389,You have pressed the 'Assign Selected Locations' button and there are no selected locations to assign.  You must select at least one location to assign before pressing the Assign Selected Locations button.
4390,An answer to the Constructed question is required.
4391,You have pressed the 'Assign Selected Paths' button and there are no selected paths to assign.  You must select at least one path to assign before pressing the Assign Selected Paths button.
4392,You have pressed the 'Assign Selected Frequencies' button and there are no selected frequencies to assign.  You must select at least one frequency to assign before pressing the Assign Selected Frequencies button.
4393,You have pressed the 'Delete Selected' button and there are no selected assignments to delete.  You must select at least one assignment to delete before pressing the Delete Selected button.
4395,Answer to 'Is Assignee claiming same or smaller category of eligibilty for installment payments as Assignor?' question is required.
4396,This call sign was selected for partial assignment and has not yet been partially assigned.  Please return to the Assign Partial Call Sign page to complete assignments for all selected call signs.
4397,Please select the type of Partition/Disaggregation.
4398,Please select the Type of Partition.
4399,Please select a Defined Area to be Partitioned.
4400,"Answer to 'If Yes, is Assignee applying for installment payments' question is required."
4402,Please complete the census of the partitioned area.
4405,Either a Defined Area or an Undefined Area is required in order to Partition a market.
4410,"If a market is partitioned, population of the paritioned area must be specified."
4415,Either a Defined or Undefined area to partition or spectrum to disaggregate is required.
4420,A partition coverage option must be specified.
4425,Completion of Disaggregation Coverage Requirements is required.
4426,"If the Assignor/Transferor Entity Type is Other, then a description is required."
4430,Schedule C must be completed if an Undefined Area (Item  3) is selected for partitioning.
4432,The Assignee/Transferee Contact Individual Name (first and last name) and/or the Company Name is required.
4433,The Assignee/Transferee Contact City provided requires a Military State to be provided.
4434,The Assignor/Transferor Contact City provided requires a Military State to be provided.
4435,Invalid location number for license.
4437,This call sign was selected for Partitioning and/or Disaggregation and has not yet been assigned.  Please return to the Partition and Disaggregation Select Licenses page to complete assignments for all selected call signs.
4442,The Licensee Contact City provided requires a Military State to be provided
4443,"If Assignee/Transferee Entity Type is Other, then a description is required."
4444,The provided Licensee Contact Email Address is invalid.
4445,Latitude degrees are required and must be between 0 and 72 if latitude direction equals N(orth) and between 11 and 14 if latitude direction equals S(outh).
4446,Latitude minutes are required and must be between 0 and 59.
4447,Latitude seconds are required and must be between 0 and 59.9.
4448,Latitude direction is required and must be either N or S.
4450,Longitude degrees are required and must be between 64 and 180 if longitude direction equals W(est) and between 130 and 180 if longitude direction equals E(ast) .
4451,Longitude minutes are required and must be between 0 and 59.
4452,Longitude seconds are required and must be between 0 and 59.9.
4453,Longitude direction  is required and must be either E or W.
4455,Location address is required.
4460,Location city is required.
4465,A valid county/borough/parish is required.
4470,Location state is required and must be a valid state code.
4475,A valid antenna registration number is required.
4476,A valid Form 854 file number is required.
4480,Site elevation AMSL is required and must be between -86.0 and +6194.0 (meters).
4481,Site elevation AMSL is required and must be between -152.0 and +6248.0 (meters).
4485,"Overall height AGL of antenna, without appurtenances, is required and must be between -100.0 and +1000.0 (meters)."
4486,"Overall height AGL of antenna, without appurtenances, is required and must be between -152.0 and +610.0 (meters)."
4490,"Overall height AGL of antenna, with appurtenances, is required and must be between -100.0 and +1000.0 (meters)."
4491,"Overall height AGL of antenna, with appurtenances, is required and must be between -152.0 and +610.0 (meters)."
4495,"Antenna structure support type is required and must be a valid antenna structure support type.  NNTANN, NTOWER AND TOWER are no longer valid and have been replaced with GTOWER, LTOWER, MTOWER, NNGTANN, NNLTANN, AND NNMTANN."
4500,Either a tower registration number or N/A is required.
4505,NEPA question must be answered for News and Modifications.
4510,Quiet Zone Notification Date must be a valid date and cannot be a future date.
4515,Invalid control point number for license.
4520,Street address is required for control point.
4525,City or town is required for control point.
4530,Control point county/borough/parish name is required and must be a valid county/borough/parish for state.
4535,Control point state is required and must be a valid state code.
4540,Control point telephone number must be 10 digits.
4545,Invalid location number for license.
4550,Invalid antenna number for location.
4555,Height to tip of antenna AGL is required and must be between -100.0 and +1000.0 (meters).
4556,Height to tip of antenna AGL is required and must be between 0 and 61 (meters).
4557,Height to tip of antenna AGL is required and must be between 0 and 10 (meters).
4558,Height to tip of antenna AGL is required for Offshore Radiotelephone Services and must be valid for station class.
4560,Height of center of radiation AAT is required and must be between -1000.0 and +6194.0 (meters).
4565,Beamwidth of main lobe is required and must be between 0.1 and 359.9 degrees for a directional antenna and 360 degrees for an omni-directional antenna.
4570,Antenna gain is required and must be between -10 and 100 (dB).
4571,Antenna gain is required and must be between -10 and 85 (dB).
4574,Azimuth of Antenna is required and must be between 0 and 360.
4575,Azimuth of Antenna is Required:  Azimuth to RX Location or Passive Repeater must be between 0 and 360 or 999.  Azimuth to RX Location or Next Passive Repeater must be between 0 and 359.9.
4580,Invalid frequency for class of station or frequency not in format 999999.99999.
4585,Valid class of station for radio service code is required.
4590,Maximum transmitting ERP is required and must be valid ERP for frequency and station class.
4595,Transmitter output power is required and must be between 0 and +3500 (watts) .
4596,"Transmitter output power, if present, must be between 0 and +3500 (watts)."
4600,Emission designator entered is a standard emission designator.
4605,Height of center of radiation AAT is required and must be between -6194.0 and +6194.0 (meters).
4610,Radial ERP is required and must not the exceed maximum transmitting ERP for frequency.
4615,Point of Communication city is required.
4620,Valid Point of Communication state is required.
4625,Valid Point of Communication frequency is required and must be in format of 999999.99999.
4630,Point of Communication latitude degrees are required and must be between 0 and 72 if longitude direction equals N(orth) and between 11 and 14 if longitude direction equals S(outh) .
4631,Point of Communication latitude minutes are required and must be between 0 and 59.
4632,Point of Communication latitude seconds are required and must be between 0 and 59.9.
4633,Point of Communication latitude direction is required and must be either N or S.
4635,Point of Communication longitude degrees are required and must be between 64 and 180 if longitude direction equals W(est) and between 130 and 180 if longitude direction equals E(ast) .
4636,Point of Communication longitude minutes are required and must be between 0 and 59.
4637,Point of Communication longitude seconds are required and must be between 0 and 59.9.
4638,Point of Communication longitude direction is required and must be either E or W.
4640,Point of Communication Call Sign is required.
4645,At least one control point is required for each license.
4650,At least one location is required for each license.
4655,At least one antenna is required for each location.
4660,At least one frequency is required for each antenna.
4665,Radial data is required for each frequency.
4670,"Points of Communication are required for station classes FXCT, FXTS, FXRP, FXRX, and FXSB."
4675,"Partitioning & Disaggregation lower frequency is required, must be in format 99999.99999, and must be valid for radio service code."
4680,"Partitioning & Disaggregation upper frequency is required, must be in format 99999.99999, and must be valid for radio service code."
4685,Partitioned Latitude degrees are required and must be between 0 and 72 if latitude direction equals N(orth) and between 11 and 14 if latitude direction equals S(outh).
4686,Partitioned Latitude minutes are required and must be between 0 and 59.
4687,Partitioned Latitude seconds are required and must be between 0 and 59.9.
4688,Partitioned latitude direction is required and must be either N or S.
4689,Partitioned Longitude degrees are required and must be between 64 and 180 if longitude direction equals W(est) and between 130 and 180 if longitude direction equals E(ast).
4690,Partitioned Longitude minutes are required and must be between 0 and 59.
4691,Partitioned Longitude seconds are required and must be between 0 and 59.9.
4692,Partitioned Longitude direction is required and must be either E or W.
4695,Please complete the Population of the Partitioned Area.
4700,The disaggregated lower frequency must be less than upper frequency.
4701,This disaggregated spectrum block overlaps another disaggregated spectrum block on the same application.  Please adjust the disaggregated spectrum so that there is no overlap with another disaggregated band.)
4705,Invalid market partition.
4710,Invalid market partition for selected call sign.
4715,Duplicate market partition exists for this call sign.
4720,Insufficient time lapsed between original license grant and application.
4725,Undefined market partition(s) require review.
4730,Market partition is in conflict with a previously received Assignment of Authorization.
4735,Callsign has been selected in previously received  Assignment of Authorization.
4740,The disaggregated spectrum is not valid for this call sign.
4745,Disaggregated spectrum is in conflict with previously received  Assignment of Authorization.
4750,The original market of the license is not a valid market partition.
4755,The selected market partition has been previously partitioned.
4760,Completion of Partitioning Coverage Requirements is required.
4765,Disaggregation coverage option is required.
4770,Please enter at least 3 sets of coordinates for an Undefined Area.
4775,An Application Receipt Date is required.  It must be a valid date (in mm/dd/yyyy format) and cannot be greater than todays date.
4780,Call signs to be partitioned/disaggregated cannot be from multiple auctions.
4785,Partitioning/Disaggregation data is required for this callsign.
4790,At least one Attachment is required for[with] this application and the response to the  Attachment question must be 'Yes'.
4795,Callsigns to be partitioned/disaggregated are required.
4800,Expiration date must be valid date in mm/dd format.
4805,Area of operation code is required.
4810,Radius of operation is required.
4815,Location north of line A is required.
4820,Location east of line C is required.
4825,Area of operation text is required.
4830,Maximum Latitude degrees are required and must be between 0 and 90.
4831,Maximum Latitude minutes are required and must be between 0 and 59.
4832,Maximum Latitude seconds are required and must be between 0 and 59.9.
4833,Maximum Latitude direction is required and must be either N or S.
4834,Maximum Longitude degrees are required and must be between 64 and 180 if longitude direction equals W(est) and between 130 and 180 if longitude direction equals E(ast) .
4835,Maximum Longitude minutes are required and must be between 0 and 59.
4836,Maximum longtitude seconds are required and must be between 0 and 59.9.
4837,Maximum Longitude direction  is required and must be either E or W.
4840,Location name is required.
4845,Sub-Type of Operation Code is required.
4850,Path code is required and must be valid for type of operation.
4855,Antenna make is required.
4860,Antenna model is required.
4865,Diversity antenna height AGL must be between -100 and +1000.
4870,Diversity antenna beamwidth must be between 0 and 360.
4875,Diversity antenna gain must be between -10 and +85.
4880,Elevation (tilt) angle is required and must be between -90 and +90.
4885,Polarization is required and must be valid value.
4890,Periscope reflector height must be between 1.0 and 20.0.
4895,Periscope reflector width must be between 1.0 and 20.0.
4900,Periscope reflector separation must be between 0 and 1000.0.
4905,The answer to 'Does the path require a passive repeater' is required.
4910,The answer to 'Does filing pose interference to GSO' is required.
4915,Back-to-back TX dish gain is required and must be between -10 and +85.
4920,Back-to-back RX dish gain is required and must be between -10 and +85.
4925,Answer to the 'Has frequency coordination been completed for this application' question is required.
4930,One control point is required per license.
4935,Periscope reflector height/width or back-to-back TX/RX dish gain are required.
4940,Lower frequency is required.
4945,Upper frequency is required.
4950,Cannot specify both periscope reflector height/width and back-to-back TX/RX dish gain.
4955,Market Designator is not valid for the selected Cellular Phase.
4960,Market Number selected must be a valid market number.
4965,Sub-Market Number selected must be a valid sub-market number.
4970,Channel Block must be either A or B.
4975,Only 1 through 9 new SIDS may be requested.
4980,SIDs to be added must be valid SIDs.
4985,An Answer to the CGSA Boundary Request question is required.
4990,Distance to CGSA must be no greater than 200 km.
4995,A final receiver/passive repeater must have an associated location.
4998,A Frequency Coordination Number is required.
4999,A Frequency Coordinator Name is required.
5000,Frequency coordinator telephone number must be 10 digits.
5001,The AA/TC file number entered does not contain a valid FRN for the requested filing.   Notification of Consummation Applications must be filed by the Assignee/Transferee.
5002,The AA/TC file number entered does not contain a valid FRN for the requested filing.   Extensions of Consummation Applications must be filed by the Assignor/Transferor.
5005,Location class code is required.
5010,An answer to 'Is application part of a pack?' is required.
5015,Pack identification number is required.
5020,Valid type of operation code is required.
5025,Valid SMSA code is required.
5030,Facility ID of parent station is required.
5035,Class of parent station is required.
5040,City of parent station's principal community is required.
5045,Valid state of principal community or state of primary operation is required
5050,All gross revenues and total assets information is required.
5055,Selection of Phase 1 or Phase 2 is required and you must select at least one market.
5060,Cellular Transmitting ERP is required and must be between 0 and 1000 watts.
5065,Selected SID already exists for License.
5070,Total number of Aircraft in fleet is required.
5075,FAA Registration Number is required.
5080,An answer to 'Is application for a Fleet License' question is required for a New application.
5085,An answer to 'Is application for a portable License' question is required for a New application.
5090,An answer to the 'Classification Requested' question is required for a New application.
5095,An answer to Forbearance Notification Question is required.
5100,An answer to the Other Wireless Licenses question is required.
5105,An answer to the Non-Wireless Licenses question is required.
5110,"An answer to 'Is the applicant a member of a minority group and/or female, or controlled by a minority group or women?' is required."
5111,"An answer to 'Is the Assignor/Transferor a member of a minority group and/or female, or controlled by a minority group or women?' is required."
5112,"An answer to 'Is the Assignee/Transferee a member of a minority group and/or female, or controlled by a minority group or women?' is required."
5113,"An answer to 'Is the Licensee a member of a minority group and/or female, or controlled by a minority group or women?' is required."
5115,An answer to 'What gender is the applicant?' is required.
5116,An answer to 'What gender is the Assignor/Transferor?' is required.
5117,An answer to 'What gender is the Assignee/Transferee?' is required.
5118,An answer to 'What gender is the Licensee?' is required.
5120,An answer to 'Is the applicant Black or African-American?' is required.
5121,An answer to 'Is the Assignor/Transferor Black or African-American?' is required.
5122,An answer to 'Is the Assignee/Transferee Black or African-American?' is required.
5123,An answer to 'Is the Licensee Black or African-American?' is required.
5125,An answer to 'Is the applicant American Indian or Alaska Native?' is required.
5126,An answer to 'Is the Assignor/Transferor American Indian or Alaska Native?' is required.
5127,An answer to 'Is the Assignee/Transferee American Indian or Alaska Native?' is required.
5128,An answer to 'Is the Licensee American Indian or Alaska Native?' is required.
5130,An answer to 'Is the applicant White?' is required.
5131,An answer to 'Is the Assignor/Transferor White?' is required.
5132,An answer to 'Is the Assignee/Transferee White?' is required.
5133,An answer to 'Is the Licensee White?' is required.
5135,An answer to 'Is the applicant Native Hawaiian or Other Pacific Islander?' is required.
5136,An answer to 'Is the Assignor/Transferor Native Hawaiian or Other Pacific Islander?' is required.
5137,An answer to 'Is the Assignee/Transferee Native Hawaiian or Other Pacific Islander?' is required.
5138,An answer to 'Is the Licensee Native Hawaiian or Other Pacific Islander?' is required.
5140,An answer to 'Is the applicant Asian?' is required.
5141,An answer to 'Is the Assignor/Transferor Asian?' is required.
5142,An answer to 'Is the Assignee/Transferee Asian?' is required.
5143,An answer to 'Is the Licensee Asian?' is required.
5145,An answer to 'What is the ethnicity of the applicant?' is required.
5146,An answer to 'What is the ethnicity of the Assignor/Transferor?' is required.
5147,An answer to 'What is the ethnicity of the Assignee/Transferee?' is required.
5148,An answer to 'What is the ethnicity of the Licensee?' is required.
5150,An N Number is not permitted for a Fleet or Portable License.
